Average Fitness,Maximum Fitness,Dominant Fitness
50.4576,59.7236,42.1797
53.9,59.9085,55.9036
56.211,60.7802,55.9036
58.0199,61.5615,59.7236
59.5122,62.0986,59.7236
60.3772,62.9209,61.0833
61.0992,63.7,61.5615
61.6733,64.1263,62.8364
62.3094,65.0579,62.8364
62.828,65.149,63.2719
63.4456,65.9809,63.9021
63.9686,66.2872,64.969
64.4823,67.6227,65.1172
64.9775,67.9275,65.422
65.477,68.6931,66.3284
66.0257,68.6931,67.1055
66.5148,68.8363,67.5971
67.041,69.1969,67.5971
67.4286,70.102,68.6931
67.7721,70.102,68.6931
68.1019,70.102,68.6931
68.3647,70.5703,69.1674
68.6866,70.5703,69.7538
69.0499,70.9212,69.7538
69.2767,70.9212,70.102
69.5567,70.9212,70.102
69.7234,71.376,70.4529
69.8685,71.4791,70.7143
70.0011,71.4791,70.9212
70.1158,71.7245,70.9212
70.3212,71.8292,70.9212
70.4159,72.8389,71.4791
70.6473,72.8645,71.4791
70.766,72.8645,71.4791
70.9698,72.8645,71.7245
71.1359,72.8645,71.7245
71.4724,73.2154,72.5316
71.6925,73.2154,72.8389
71.8783,73.2154,72.8389
71.9247,73.2974,72.8389
71.999,73.3984,72.8645
72.1358,73.7733,73.2154
72.2182,73.7733,73.2154
72.3211,73.8554,73.2154
72.385,73.8554,73.2974
72.6028,73.8554,73.2974
72.7362,73.8554,73.7733
72.8279,73.8554,73.7733
72.8361,73.8554,73.8554
72.7929,73.8554,73.8554
72.749,73.8554,73.8554
72.8313,73.8554,73.8554
72.8736,73.8554,73.8554
72.8605,73.8554,73.8554
72.8392,73.8554,73.8554
72.8379,73.8554,73.8554
72.8508,73.8554,73.8554
72.9043,73.8554,73.8554
72.8636,73.8554,73.8554
72.862,73.8554,73.8554
72.8878,73.8554,73.8554
72.8878,73.8554,73.8554
72.8922,73.8554,73.8554
72.838,73.8554,73.8554
72.8985,73.8554,73.8554
72.8547,73.8554,73.8554
72.8252,73.8554,73.8554
72.8568,73.8554,73.8554
72.8134,73.8554,73.8554
72.9065,73.8554,73.8554
72.8886,73.8554,73.8554
72.8737,73.8554,73.8554
72.8643,73.8554,73.8554
72.8813,73.8554,73.8554
72.7972,73.8554,73.8554
72.8387,73.8554,73.8554
72.8569,73.8554,73.8554
72.8985,73.8554,73.8554
72.8864,73.8554,73.8554
72.8623,73.8554,73.8554
72.8873,73.8554,73.8554
72.8068,73.8554,73.8554
72.8362,73.8554,73.8554
72.8806,73.8554,73.8554
72.8801,73.8554,73.8554
72.8158,73.8554,73.8554
72.8028,73.8554,73.8554
72.8618,73.8554,73.8554
72.8762,73.8554,73.8554
72.8776,73.8554,73.8554
72.87,73.8554,73.8554
72.8611,73.8554,73.8554
72.8394,73.8554,73.8554
72.8544,73.8554,73.8554
72.9029,73.8554,73.8554
72.8945,73.8554,73.8554
72.8657,73.8554,73.8554
72.9257,73.8554,73.8554
72.8369,73.8554,73.8554
72.8933,73.8554,73.8554
