Fitness,Genome
60.3778,0110011011110000111110001101011011101110111110000011101011000000001100110011011001101100011011001010
60.3778,0110011011110000111110001101011011101110111110000011101011000000001100110011011001101100011011001010
61.887,0101010010000001110000011111110011010010111110011101011101011001111110010011111011101100010110100010
62.8913,0101010010000001110000011100110011010010101110011101011101011001111110010011111011101100010110100011
63.2549,0101010010000001110000011111110011010010111110111101011101011001111110010011111011101100010110101010
65.122,0101010010000001010000011111110011010010111110111101011101011001111110010011111001101100010110101010
65.122,0101010010000001010000011111110011010010111110111101011101011001111110010011111001101100010110101010
66.3504,0101010010000000110000001111110011010010111000011101011100011001111110010011111011100100010110101010
67.032,0101010010000001010000011111111011010010111010111101011101011001111110010011111001101100010110101010
67.0505,0101010010000000110000001111110011010010111000001101011100011001111110010011111011100100010110101010
68.2569,0101010010000000110000001111110011010010111000001101011100010001111110010011111001100100010100101010
68.9805,0101010010000001110000011100111011010011101100001101011101011001111110010011111001100100010100000011
69.5333,0101010010000001010000011111111011110010111010111101011100101001111110010011111001101100010110101010
69.6919,0101010010000000110000001111110011011000111000011101011100101001111110010011111001100100010110101010
70.8924,0101010010000000110000001111111011011000111000011101011100101001111110010011111001100100010110101010
70.8924,0101010010000000110000001111111011011000111000011101011100101001111110010011111001100100010110101010
70.9072,0101010010000000110000001111111011011010111000011101011100101001111110010011111001100100010111001010
71.6459,0101010010000000110000001111111011011100111000011101011100101001111110010011111001100100010110101010
72.3632,0101010010000000110000001111111011011100111001011101011100101001111110010011111001100100010110101010
72.3632,0101010010000000110000001111111011011100111001011101011100101001111110010011111001100100010110101010
72.3866,1101010010000000110000001111111011011000010000001101011100101001111110010011111001100100010110101010
72.9038,0101010010000000110000001111111011011101111001011101011100101001111110010011111001100100010110101010
72.9038,0101010010000000110000001111111011011101111001011101011100101001111110010011111001100100010110101010
73.1506,0101010010010000110000001111111011011101111001111101011100101001111110010011111001100100010110101010
73.292,0101010010000001011000001111111011110111111010110101011100101001111110010011111001100100010110101010
73.6103,0101010010011000110000001111111011011101110000001101011100101001111110010011111001100100010110101010
73.6103,0101010010011000110000001111111011011101110000001101011100101001111110010011111001100100010110101010
73.8022,0101010010011000110000001111111011011101111001011101011100101001111110010011111001100100010110101010
73.8022,0101010010011000110000001111111011011101111001011101011100101001111110010011111001100100010110101010
74.1707,0101010010011000110000001111111011111001011001011101011100101001111110010011111001100100010110101010
74.3009,0101010010011000110000001111111011111001011001011001011100101001111110010011111001100100010110101010
74.1707,0101010010011000110000001111111011111001011001011101011100101001111110010011111001100100010110101010
74.4409,0101010010011000110000001111111011111001011001111101011100101001111110010011111001100100010110101010
74.4409,0101010010011000110000001111111011111001011001111101011100101001111110010011111001100100010110101010
74.518,0101010010011000110000001111111011101101111001111101011100101001111110010011111001100100010110101010
74.518,0101010010011000110000001111111011101101111001111101011100101001111110010011111001100100010110101010
74.518,0101010010011000110000001111111011101101111001111101011100101001111110010011111001100100010110101010
74.518,0101010010011000110000001111111011101101111001111101011100101001111110010011111001100100010110101010
74.7168,0101010010011000110000001111111001101101011001111101011100101001111110010011111001100100010110101010
74.7168,0101010010011000110000001111111001101101011001111101011100101001111110010011111001100100010110101010
74.8977,0101010010011000110000001111111001101101111001111101011100101001111110010011111001100100010110101010
75.0796,0101010010011000110000001111111001101111111001111101011100101001111110010011111001100100010110101010
75.0796,0101010010011000110000001111111001101111111001111101011100101001111110010011111001100100010110101010
75.0796,0101010010011000110000001111111001101111111001111101011100101001111110010011111001100100010110101010
75.1665,0101010010011000110000001111111001100101111001111101011100101001111110010011111001100100010110101010
75.1665,0101010010011000110000001111111001100101111001111101011100101001111110010011111001100100010110101010
75.1665,0101010010011000110000001111111001100101111001111101011100101001111110010011111001100100010110101010
75.1665,0101010010011000110000001111111001100101111001111101011100101001111110010011111001100100010110101010
75.1665,0101010010011000110000001111111001100101111001111101011100101001111110010011111001100100010110101010
75.4815,0101011110011000110000001111111001100101111001111101011100101001111110010011111001100100010110101010
75.4815,0101011110011000110000001111111001100101111001111101011100101001111110010011111001100100010110101010
75.1682,0101010010011000110000001111111001100101111001111101011100101001111110010011111001100100010110101111
75.1682,0101010010011000110000001111111001100101111001111101011100101001111110010011111001100100010110101111
75.1682,0101010010011000110000001111111001100101111001111101011100101001111110010011111001100100010110101111
